1997.999	0.1
1998.102	0.1
1998.201	0.1
1998.301	0.1
1998.401	0.1
1998.501	0.1
1998.601	0.1
1998.701	0.1
1998.8	0.1
1998.901	0.1
1999	0.1
1999.1	0.1
1999.2	0.1
1999.3	0.1
1999.4	0.1
1999.5	0.1
1999.6	0.1
1999.7	0.1
1999.8	0.1
1999.9	0.1
2000	0.1
2000.1	0.1
2000.2	0.1
2000.3	0.1
2000.4	0.1
2000.5	0.1
2000.6	0.1
2000.7	0.1
2000.8	0.1
2000.901	0.1
2001	0.1
2001.101	0.1
2001.201	0.1
2001.301	0.1
2001.401	0.1
2001.501	0.1
2001.602	0.1
2001.698	0.1
2001.799	0.1
2001.899	0.1
2001.999	0.1
